movieId,title,title_only
1,Toy Story (1995),Toy Story 
3,Grumpier Old Men (1995),Grumpier Old Men 
6,Heat (1995),Heat 
47,Seven (a.k.a. Se7en) (1995),Seven 
50,"Usual Suspects, The (1995)","Usual Suspects, The "
70,From Dusk Till Dawn (1996),From Dusk Till Dawn 
101,Bottle Rocket (1996),Bottle Rocket 
110,Braveheart (1995),Braveheart 
151,Rob Roy (1995),Rob Roy 
157,Canadian Bacon (1995),Canadian Bacon 
163,Desperado (1995),Desperado 
216,Billy Madison (1995),Billy Madison 
223,Clerks (1994),Clerks 
231,Dumb & Dumber (Dumb and Dumber) (1994),Dumb & Dumber 
235,Ed Wood (1994),Ed Wood 
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope 
296,Pulp Fiction (1994),Pulp Fiction 
316,Stargate (1994),Stargate 
333,Tommy Boy (1995),Tommy Boy 
349,Clear and Present Danger (1994),Clear and Present Danger 
356,Forrest Gump (1994),Forrest Gump 
362,"Jungle Book, The (1994)","Jungle Book, The "
367,"Mask, The (1994)","Mask, The "
423,Blown Away (1994),Blown Away 
441,Dazed and Confused (1993),Dazed and Confused 
457,"Fugitive, The (1993)","Fugitive, The "
480,Jurassic Park (1993),Jurassic Park 
500,Mrs. Doubtfire (1993),Mrs. Doubtfire 
527,Schindler's List (1993),Schindler's List 
543,So I Married an Axe Murderer (1993),So I Married an Axe Murderer 
552,"Three Musketeers, The (1993)","Three Musketeers, The "
553,Tombstone (1993),Tombstone 
590,Dances with Wolves (1990),Dances with Wolves 
592,Batman (1989),Batman 
593,"Silence of the Lambs, The (1991)","Silence of the Lambs, The "
596,Pinocchio (1940),Pinocchio 
608,Fargo (1996),Fargo 
648,Mission: Impossible (1996),Mission: Impossible 
661,James and the Giant Peach (1996),James and the Giant Peach 
673,Space Jam (1996),Space Jam 
733,"Rock, The (1996)","Rock, The "
736,Twister (1996),Twister 
780,Independence Day (a.k.a. ID4) (1996),Independence Day 
804,She's the One (1996),She's the One 
919,"Wizard of Oz, The (1939)","Wizard of Oz, The "
923,Citizen Kane (1941),Citizen Kane 
940,"Adventures of Robin Hood, The (1938)","Adventures of Robin Hood, The "
943,"Ghost and Mrs. Muir, The (1947)","Ghost and Mrs. Muir, The "
954,Mr. Smith Goes to Washington (1939),Mr. Smith Goes to Washington 
1009,Escape to Witch Mountain (1975),Escape to Witch Mountain 
1023,Winnie the Pooh and the Blustery Day (1968),Winnie the Pooh and the Blustery Day 
1024,"Three Caballeros, The (1945)","Three Caballeros, The "
1025,"Sword in the Stone, The (1963)","Sword in the Stone, The "
1029,Dumbo (1941),Dumbo 
1030,Pete's Dragon (1977),Pete's Dragon 
1031,Bedknobs and Broomsticks (1971),Bedknobs and Broomsticks 
1032,Alice in Wonderland (1951),Alice in Wonderland 
1042,That Thing You Do! (1996),That Thing You Do! 
1049,"Ghost and the Darkness, The (1996)","Ghost and the Darkness, The "
1060,Swingers (1996),Swingers 
1073,Willy Wonka & the Chocolate Factory (1971),Willy Wonka & the Chocolate Factory 
1080,Monty Python's Life of Brian (1979),Monty Python's Life of Brian 
1089,Reservoir Dogs (1992),Reservoir Dogs 
1090,Platoon (1986),Platoon 
1092,Basic Instinct (1992),Basic Instinct 
1097,E.T. the Extra-Terrestrial (1982),E.T. the Extra-Terrestrial 
1127,"Abyss, The (1989)","Abyss, The "
1136,Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail 
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back 
1197,"Princess Bride, The (1987)","Princess Bride, The "
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Raiders of the Lost Ark 
1206,"Clockwork Orange, A (1971)","Clockwork Orange, A "
1208,Apocalypse Now (1979),Apocalypse Now 
1210,Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode VI - Return of the Jedi 
1213,Goodfellas (1990),Goodfellas 
1214,Alien (1979),Alien 
1219,Psycho (1960),Psycho 
1220,"Blues Brothers, The (1980)","Blues Brothers, The "
1222,Full Metal Jacket (1987),Full Metal Jacket 
1224,Henry V (1989),Henry V 
1226,"Quiet Man, The (1952)","Quiet Man, The "
1240,"Terminator, The (1984)","Terminator, The "
1256,Duck Soup (1933),Duck Soup 
1258,"Shining, The (1980)","Shining, The "
1265,Groundhog Day (1993),Groundhog Day 
1270,Back to the Future (1985),Back to the Future 
1275,Highlander (1986),Highlander 
1278,Young Frankenstein (1974),Young Frankenstein 
1282,Fantasia (1940),Fantasia 
1291,Indiana Jones and the Last Crusade (1989),Indiana Jones and the Last Crusade 
1298,Pink Floyd: The Wall (1982),Pink Floyd: The Wall 
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Nosferatu 
1377,Batman Returns (1992),Batman Returns 
1396,Sneakers (1992),Sneakers 
1408,"Last of the Mohicans, The (1992)","Last of the Mohicans, The "
1445,McHale's Navy (1997),McHale's Navy 
1473,Best Men (1997),Best Men 
1500,Grosse Pointe Blank (1997),Grosse Pointe Blank 
1517,Austin Powers: International Man of Mystery (1997),Austin Powers: International Man of Mystery 
1552,Con Air (1997),Con Air 
1573,Face/Off (1997),Face/Off 
1580,Men in Black (a.k.a. MIB) (1997),Men in Black 
1587,Conan the Barbarian (1982),Conan the Barbarian 
1617,L.A. Confidential (1997),L.A. Confidential 
1620,Kiss the Girls (1997),Kiss the Girls 
1625,"Game, The (1997)","Game, The "
1644,I Know What You Did Last Summer (1997),I Know What You Did Last Summer 
1676,Starship Troopers (1997),Starship Troopers 
1732,"Big Lebowski, The (1998)","Big Lebowski, The "
1777,"Wedding Singer, The (1998)","Wedding Singer, The "
1793,Welcome to Woop-Woop (1997),Welcome to Woop-Woop 
1804,"Newton Boys, The (1998)","Newton Boys, The "
1805,Wild Things (1998),Wild Things 
1920,Small Soldiers (1998),Small Soldiers 
1927,All Quiet on the Western Front (1930),All Quiet on the Western Front 
1954,Rocky (1976),Rocky 
1967,Labyrinth (1986),Labyrinth 
